BA9_CODDOE;BA9_DOENCA;BA9_ABREVI;BA9_RESTSE;BA9_CAUOBT;BA9_REFERE
X989;AGRESSAO POR MEIO DE VAPOR DE AGUAGASES OU OBJETOS QUENTES LOCAL NAO ESPECIFICADO;X98.9 LOCAL NE;;;
X99;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE;X99 AGRESSAO OBJETO COR;;;
X990;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE RESIDENCIA;X99.0 RESIDENCIA;;;
X991;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE HABITACAO COLETIVA;X99.1 HABITACAO COLETIVA;;;
X992;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;X99.2 ESCOLAS OUTR INSTIT;;;
X993;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE AREA PARA A PRATICA DE ESPORTES E ATLETISMO;X99.3 AREA P A PRATICA DE;;;
X994;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE RUA E ESTRADA;X99.4 RUA E ESTRADA;;;
X995;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE AREAS DE COMERCIO E DE SERVICOS;X99.5 AREAS DE COMERCIO E;;;
X996;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE AREAS INDUSTRIAIS E EM CONSTRUCAO;X99.6 AREAS INDUSTRIAIS E;;;
X997;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE FAZENDA;X99.7 FAZENDA;;;
X998;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE OUTROS LOCAIS ESPECIFICADOS;X99.8 OUTR LOCAIS ESPEC;;;
X999;AGRESSAO POR MEIO DE OBJETO CORTANTE OU PENETRANTE LOCAL NAO ESPECIFICADO;X99.9 LOCAL NE;;;
Y00;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE;Y00 AGRESSAO P MEIO DE;;;
Y000;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE RESIDENCIA;Y00.0 RESIDENCIA;;;
Y001;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE HABITACAO COLETIVA;Y00.1 HABITACAO COLETIVA;;;
Y002;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y00.2 ESCOLAS OUTR INSTIT;;;
Y003;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y00.3 AREA P A PRATICA DE;;;
Y004;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE RUA E ESTRADA;Y00.4 RUA E ESTRADA;;;
Y005;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE AREAS DE COMERCIO E DE SERVICOS;Y00.5 AREAS DE COMERCIO E;;;
Y006;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE AREAS INDUSTRIAIS E EM CONSTRUCAO;Y00.6 AREAS INDUSTRIAIS E;;;
Y007;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE FAZENDA;Y00.7 FAZENDA;;;
Y008;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE OUTROS LOCAIS ESPECIFICADOS;Y00.8 OUTR LOCAIS ESPEC;;;
Y009;AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE LOCAL NAO ESPECIFICADO;Y00.9 LOCAL NE;;;
Y01;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO;Y01 AGRESSAO P MEIO PRO;;;
Y010;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO RESIDENCIA;Y01.0 RESIDENCIA;;;
Y011;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO HABITACAO COLETIVA;Y01.1 HABITACAO COLETIVA;;;
Y012;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y01.2 ESCOLAS OUTR INSTIT;;;
Y013;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y01.3 AREA P A PRATICA DE;;;
Y014;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO RUA E ESTRADA;Y01.4 RUA E ESTRADA;;;
Y015;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO AREAS DE COMERCIO E DE SERVICOS;Y01.5 AREAS DE COMERCIO E;;;
Y016;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO AREAS INDUSTRIAIS E EM CONSTRUCAO;Y01.6 AREAS INDUSTRIAIS E;;;
Y017;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO FAZENDA;Y01.7 FAZENDA;;;
Y018;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO OUTROS LOCAIS ESPECIFICADOS;Y01.8 OUTR LOCAIS ESPEC;;;
Y019;AGRESSAO POR MEIO DE PROJECAO DE UM LUGAR ELEVADO LOCAL NAO ESPECIFICADO;Y01.9 LOCAL NE;;;
Y02;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO;Y02 AGRESSAO PROJ COLOC;;;
Y020;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO RESIDENCIA;Y02.0 RESIDENCIA;;;
Y021;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO HABITACAO COLETIVA;Y02.1 HABITACAO COLETIVA;;;
Y022;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y02.2 ESCOLAS OUTR INSTIT;;;
Y023;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y02.3 AREA P A PRATICA DE;;;
Y024;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO RUA E ESTRADA;Y02.4 RUA E ESTRADA;;;
Y025;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO AREAS DE COMERCIO E DE SERVICOS;Y02.5 AREAS DE COMERCIO E;;;
Y026;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO AREAS INDUSTRIAIS E EM CONSTRUCAO;Y02.6 AREAS INDUSTRIAIS E;;;
Y027;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO FAZENDA;Y02.7 FAZENDA;;;
Y028;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO OUTROS LOCAIS ESPECIFICADOS;Y02.8 OUTR LOCAIS ESPEC;;;
Y029;AGRESSAO POR MEIO DE PROJECAO OU COLOCACAO DA VITIMA DIANTE DE UM OBJETO EM MOVIMENTO LOCAL NAO ESPECIFICADO;Y02.9 LOCAL NE;;;
Y03;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR;Y03 AGRESSAO P MEIO DE;;;
Y030;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR RESIDENCIA;Y03.0 RESIDENCIA;;;
Y031;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR HABITACAO COLETIVA;Y03.1 HABITACAO COLETIVA;;;
Y032;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y03.2 ESCOLAS OUTR INSTIT;;;
Y033;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y03.3 AREA P A PRATICA DE;;;
Y034;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR RUA E ESTRADA;Y03.4 RUA E ESTRADA;;;
Y035;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR AREAS DE COMERCIO E DE SERVICOS;Y03.5 AREAS DE COMERCIO E;;;
Y036;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR AREAS INDUSTRIAIS E EM CONSTRUCAO;Y03.6 AREAS INDUSTRIAIS E;;;
Y037;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR FAZENDA;Y03.7 FAZENDA;;;
Y038;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR OUTROS LOCAIS ESPECIFICADOS;Y03.8 OUTR LOCAIS ESPEC;;;
Y039;AGRESSAO POR MEIO DE IMPACTO DE UM VEICULO A MOTOR LOCAL NAO ESPECIFICADO;Y03.9 LOCAL NE;;;
Y04;AGRESSAO POR MEIO DE FORCA CORPORAL;Y04 AGRESSAO P MEIO DE;;;
Y040;AGRESSAO POR MEIO DE FORCA CORPORAL RESIDENCIA;Y04.0 RESIDENCIA;;;
Y041;AGRESSAO POR MEIO DE FORCA CORPORAL HABITACAO COLETIVA;Y04.1 HABITACAO COLETIVA;;;
Y042;AGRESSAO POR MEIO DE FORCA CORPORAL ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y04.2 ESCOLAS OUTR INSTIT;;;
Y043;AGRESSAO POR MEIO DE FORCA CORPORAL AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y04.3 AREA P A PRATICA DE;;;
Y044;AGRESSAO POR MEIO DE FORCA CORPORAL RUA E ESTRADA;Y04.4 RUA E ESTRADA;;;
Y045;AGRESSAO POR MEIO DE FORCA CORPORAL AREAS DE COMERCIO E DE SERVICOS;Y04.5 AREAS DE COMERCIO E;;;
Y046;AGRESSAO POR MEIO DE FORCA CORPORAL AREAS INDUSTRIAIS E EM CONSTRUCAO;Y04.6 AREAS INDUSTRIAIS E;;;
Y047;AGRESSAO POR MEIO DE FORCA CORPORAL FAZENDA;Y04.7 FAZENDA;;;
Y048;AGRESSAO POR MEIO DE FORCA CORPORAL OUTROS LOCAIS ESPECIFICADOS;Y04.8 OUTR LOCAIS ESPEC;;;
Y049;AGRESSAO POR MEIO DE FORCA CORPORAL LOCAL NAO ESPECIFICADO;Y04.9 LOCAL NE;;;
Y05;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA;Y05 AGRESSAO SEXUAL P M;;;
Y050;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA RESIDENCIA;Y05.0 RESIDENCIA;;;
Y051;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA HABITACAO COLETIVA;Y05.1 HABITACAO COLETIVA;;;
Y052;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y05.2 ESCOLAS OUTR INSTIT;;;
Y053;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y05.3 AREA P A PRATICA DE;;;
Y054;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA RUA E ESTRADA;Y05.4 RUA E ESTRADA;;;
Y055;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA AREAS DE COMERCIO E DE SERVICOS;Y05.5 AREAS DE COMERCIO E;;;
Y056;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA AREAS INDUSTRIAIS E EM CONSTRUCAO;Y05.6 AREAS INDUSTRIAIS E;;;
Y057;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA FAZENDA;Y05.7 FAZENDA;;;
Y058;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA OUTROS LOCAIS ESPECIFICADOS;Y05.8 OUTR LOCAIS ESPEC;;;
Y059;AGRESSAO SEXUAL POR MEIO DE FORCA FISICA LOCAL NAO ESPECIFICADO;Y05.9 LOCAL NE;;;
Y06;NEGLIGENCIA E ABANDONO;Y06 NEGLIGENCIA E ABAND;;;
Y060;NEGLIGENCIA E ABANDONO PELO ESPOSO OU COMPANHEIRO;Y06.0 NEGLIGENCIA E ABAND;;;
Y061;NEGLIGENCIA E ABANDONO PELOS PAIS;Y06.1 NEGLIGENCIA E ABAND;;;
Y062;NEGLIGENCIA E ABANDONO POR CONHECIDO OU AMIGO;Y06.2 NEGLIGENCIA E ABAND;;;
Y068;NEGLIGENCIA E ABANDONO POR OUTRA PESSOA ESPECIFICADA;Y06.8 NEGLIGENCIA E ABAND;;;
Y069;NEGLIGENCIA E ABANDONO POR PESSOA NAO ESPECIFICADA;Y06.9 NEGLIGENCIA E ABAND;;;
Y07;OUTRAS SINDROMES DE MAUS TRATOS;Y07 OUTR SINDR DE MAUS;;;
Y070;OUTRAS SINDROMES DE MAUS TRATOS PELO ESPOSO OU COMPANHEIRO;Y07.0 OUTR SINDR MAUS TRA;;;
Y071;OUTRAS SINDROMES DE MAUS TRATOS PELOS PAIS;Y07.1 OUTR SINDR DE MAUS;;;
Y072;OUTRAS SINDROMES DE MAUS TRATOS POR CONHECIDO OU AMIGO;Y07.2 OUTR SINDR DE MAUS;;;
Y073;OUTRAS SINDROMES DE MAUS TRATOS POR AUTORIDADES OFICIAIS;Y07.3 OUTR SINDR DE MAUS;;;
Y078;OUTRAS SINDROMES DE MAUS TRATOS POR OUTRA PESSOA ESPECIFICADA;Y07.8 OUTR SINDR MAUS TRA;;;
Y079;OUTRAS SINDROMES DE MAUS TRATOS POR PESSOA NAO ESPECIFICADA;Y07.9 OUTR SINDR DE MAUS;;;
Y08;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS;Y08 AGRESSAO P OUTR MEI;;;
Y080;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS RESIDENCIA;Y08.0 RESIDENCIA;;;
Y081;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS HABITACAO COLETIVA;Y08.1 HABITACAO COLETIVA;;;
Y082;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y08.2 ESCOLAS OUTR INSTIT;;;
Y083;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y08.3 AREA P A PRATICA DE;;;
Y084;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS RUA E ESTRADA;Y08.4 RUA E ESTRADA;;;
Y085;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS AREAS DE COMERCIO E DE SERVICOS;Y08.5 AREAS DE COMERCIO E;;;
Y086;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS AREAS INDUSTRIAIS E EM CONSTRUCAO;Y08.6 AREAS INDUSTRIAIS E;;;
Y087;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS FAZENDA;Y08.7 FAZENDA;;;
Y088;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS OUTROS LOCAIS ESPECIFICADOS;Y08.8 OUTR LOCAIS ESPEC;;;
Y089;AGRESSAO POR OUTROS MEIOS ESPECIFICADOS LOCAL NAO ESPECIFICADO;Y08.9 LOCAL NE;;;
Y09;AGRESSAO POR MEIOS NAO ESPECIFICADOS;Y09 AGRESSAO P MEIOS NE;;;
Y090;AGRESSAO POR MEIOS NAO ESPECIFICADOS RESIDENCIA;Y09.0 RESIDENCIA;;;
Y091;AGRESSAO POR MEIOS NAO ESPECIFICADOS HABITACAO COLETIVA;Y09.1 HABITACAO COLETIVA;;;
Y092;AGRESSAO POR MEIOS NAO ESPECIFICADOS ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y09.2 ESCOLAS OUTR INSTIT;;;
Y093;AGRESSAO POR MEIOS NAO ESPECIFICADOS AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y09.3 AREA P A PRATICA DE;;;
Y094;AGRESSAO POR MEIOS NAO ESPECIFICADOS RUA E ESTRADA;Y09.4 RUA E ESTRADA;;;
Y095;AGRESSAO POR MEIOS NAO ESPECIFICADOS AREAS DE COMERCIO E DE SERVICOS;Y09.5 AREAS DE COMERCIO E;;;
Y096;AGRESSAO POR MEIOS NAO ESPECIFICADOS AREAS INDUSTRIAIS E EM CONSTRUCAO;Y09.6 AREAS INDUSTRIAIS E;;;
Y097;AGRESSAO POR MEIOS NAO ESPECIFICADOS FAZENDA;Y09.7 FAZENDA;;;
Y098;AGRESSAO POR MEIOS NAO ESPECIFICADOS OUTROS LOCAIS ESPECIFICADOS;Y09.8 OUTR LOCAIS ESPEC;;;
Y099;AGRESSAO POR MEIOS NAO ESPECIFICADOS LOCAL NAO ESPECIFICADO;Y09.9 LOCAL NE;;;
Y10;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA;Y10 ENV ANALG ANTIPIR A;;;
Y100;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA RESIDENCIA;Y10.0 RESIDENCIA;;;
Y101;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA HABITACAO COLETIVA;Y10.1 HABITACAO COLETIVA;;;
Y102;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINISTRACAO PUBLICA;Y10.2 ESCOLAS OUTR INSTIT;;;
Y103;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y10.3 AREA P A PRATICA DE;;;
Y104;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA RUA E ESTRADA;Y10.4 RUA E ESTRADA;;;
Y105;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA AREAS DE COMERCIO E DE SERVICOS;Y10.5 AREAS DE COMERCIO E;;;
Y106;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA AREAS INDUSTRIAIS E EM CONSTRUCAO;Y10.6 AREAS INDUSTRIAIS E;;;
Y107;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA FAZENDA;Y10.7 FAZENDA;;;
Y108;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA OUTROS LOCAIS ESPECIFICADOS;Y10.8 OUTR LOCAIS ESPEC;;;
Y109;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANALGESICOSANTIPIRETICOS E ANTI REUMATICOS NAO OPIACEOSINTENCAO NAO DETERMINADA LOCAL NAO ESPECIFICADO;Y10.9 LOCAL NE;;;
Y11;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11 ENV ANTIC SED HIPN;;;
Y110;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.0 RESIDENCIA;;;
Y111;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.1 HABITACAO COLETIVA;;;
Y112;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.2 ESCOLAS OUTR INSTIT;;;
Y113;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.3 AREA P A PRATICA DE;;;
Y114;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.4 RUA E ESTRADA;;;
Y115;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.5 AREAS DE COMERCIO E;;;
Y116;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.6 AREAS INDUSTRIAIS E;;;
Y117;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.7 FAZENDA;;;
Y118;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.8 OUTR LOCAIS ESPEC;;;
Y119;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A ANTICONVULSIVANTESANTIEPILEPTICOS SEDATIVOSHIPNOTICOSANTIPARKINSONIANOS E PSICOTROPICOS NAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y11.9 LOCAL NE;;;
Y12;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA;Y12 ENVENEN NARCOT PSIC;;;
Y120;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA RESIDENCIA;Y12.0 RESIDENCIA;;;
Y121;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA HABITACAO COLETIVA;Y12.1 HABITACAO COLETIVA;;;
Y122;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA ESCOLASOUTRAS INSTITUICOES E AREAS DE ADMINI;Y12.2 ESCOLAS OUTR INSTIT;;;
Y123;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA AREA PARA A PRATICA DE ESPORTES E ATLETISMO;Y12.3 AREA P A PRATICA DE;;;
Y124;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA RUA E ESTRADA;Y12.4 RUA E ESTRADA;;;
Y125;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA AREAS DE COMERCIO E DE SERVICOS;Y12.5 AREAS DE COMERCIO E;;;
Y126;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA AREAS INDUSTRIAIS E EM CONSTRUCAO;Y12.6 AREAS INDUSTRIAIS E;;;
Y127;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA FAZENDA;Y12.7 FAZENDA;;;
Y128;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA OUTROS LOCAIS ESPECIFICADOS;Y12.8 OUTR LOCAIS ESPEC;;;
Y129;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOSALUCINOGENOSNAO CLASSIFICADOS EM OUTRA PARTEINTENCAO NAO DETERMINADA LOCAL NAO ESPECIFICADO;Y12.9 LOCAL NE;;;
Y13;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A OUTRAS SUBSTANCIAS FARMACOLOGICAS DE ACAO SOBRE O SISTEMA NERVOSO AUTONOMOINTENCAO NAO DETERMINADA;Y13 ENV OUT SUBST FARM;;;
Y130;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A OUTRAS SUBSTANCIAS FARMACOLOGICAS DE ACAO SOBRE O SISTEMA NERVOSO AUTONOMOINTENCAO NAO DETERMINADA RESIDENCIA;Y13.0 RESIDENCIA;;;
Y131;ENVENENAMENTOINTOXICACAOPOR E EXPOSICAO A OUTRAS SUBSTANCIAS FARMACOLOGICAS DE ACAO SOBRE O SISTEMA NERVOSO AUTONOMOINTENCAO NAO DETERMINADA HABITACAO COLETIVA;Y13.1 HABITACAO COLETIVA;;;
